epoch,IoU,loss,val_IoU,val_loss
0,0.09874183684587479,467.5679931640625,0.009578445926308632,539.8331909179688
1,0.3143439292907715,393.0973815917969,0.0008809639257378876,541.7030639648438
2,0.4670461416244507,360.55328369140625,0.0003175780293531716,539.6275024414062
3,0.5130830407142639,349.9898376464844,0.00012211993453092873,539.092041015625
4,0.5394867658615112,344.8438720703125,7.469138654414564e-05,538.4175415039062
5,0.5620180368423462,340.69970703125,5.872335168533027e-05,536.7689819335938
6,0.581056535243988,337.4149475097656,4.231654020259157e-05,539.4552001953125
7,0.5929250717163086,335.2340087890625,3.9873335481388494e-05,538.1600952148438
8,0.605160117149353,333.5628356933594,2.9593982617370784e-05,527.3853759765625
9,0.6142812371253967,331.9328918457031,7.460904453182593e-05,509.0887145996094
10,0.6235661506652832,330.248779296875,0.0010771297384053469,482.63995361328125
11,0.6308681964874268,329.396240234375,0.026043616235256195,543.44775390625
12,0.6411105990409851,327.9560241699219,0.20411884784698486,539.2891845703125
13,0.6454360485076904,327.22210693359375,0.4902545213699341,350.15948486328125
14,0.6501866579055786,326.3562927246094,0.5455030202865601,344.7930603027344
15,0.6567155718803406,325.22674560546875,0.3480209410190582,377.3320617675781
16,0.6606807708740234,324.97528076171875,0.5738399028778076,337.2767639160156
17,0.667224645614624,323.83990478515625,0.5769432187080383,341.4908447265625
18,0.6721733808517456,323.2315673828125,0.5376210808753967,369.32098388671875
19,0.6748827695846558,322.6045837402344,0.47304925322532654,349.67608642578125
20,0.6770203113555908,322.4649658203125,0.5801305174827576,334.2756042480469
21,0.6832730174064636,321.5852355957031,0.5698649883270264,340.9841613769531
22,0.6854488253593445,321.5473937988281,0.6106297373771667,342.20001220703125
23,0.6894101500511169,320.7341613769531,0.4683622419834137,354.2372131347656
24,0.6940848231315613,320.3619689941406,0.5210424661636353,345.0958557128906
25,0.6936111450195312,320.3684387207031,0.2972284257411957,386.3887939453125
26,0.695911169052124,319.8191833496094,0.5922818779945374,345.53900146484375
27,0.6999678611755371,319.3907470703125,0.41954219341278076,361.2878112792969
28,0.7037581205368042,319.2075500488281,0.17337705194950104,428.6490783691406
29,0.7062343955039978,318.7016906738281,0.3965591788291931,365.2033386230469
30,0.7076053619384766,318.4087219238281,0.5470598340034485,342.81634521484375
31,0.7114511728286743,318.283203125,0.4750317931175232,352.6320495605469
32,0.71200031042099,317.95159912109375,0.4030102491378784,362.2997131347656
33,0.716720700263977,317.3817138671875,0.5289892554283142,343.53759765625
34,0.71565842628479,317.16461181640625,0.47226008772850037,352.7043151855469
35,0.7155612111091614,317.4503173828125,0.38685843348503113,367.3562927246094
36,0.7211557626724243,316.6119384765625,0.5350832343101501,346.2401123046875
37,0.7211632132530212,316.6533508300781,0.4494890570640564,356.548828125
38,0.7240490317344666,316.4497985839844,0.2039719820022583,434.4934387207031
39,0.7239077091217041,316.0545654296875,0.6290810704231262,338.480712890625
40,0.7274988889694214,315.94964599609375,0.6272411942481995,347.48419189453125
41,0.7311800122261047,315.52587890625,0.6208770871162415,339.1417541503906
42,0.7348763346672058,315.19378662109375,0.632021963596344,348.6850280761719
43,0.7361570596694946,314.88385009765625,0.48535242676734924,359.4073791503906
44,0.731465756893158,314.9578857421875,0.593929648399353,344.81591796875
45,0.7358596920967102,314.9922790527344,0.5781640410423279,350.9451904296875
