epoch,IoU,loss,val_IoU,val_loss
0,0.10155424475669861,466.1972961425781,0.009329095482826233,540.5425415039062
1,0.30921411514282227,394.3439025878906,0.0015243326779454947,538.8509521484375
2,0.4593356251716614,362.1285705566406,0.0004102795210201293,539.0363159179688
3,0.5113662481307983,350.7495422363281,0.0001769469236023724,539.9094848632812
4,0.5420027375221252,344.57208251953125,0.0001042070216499269,541.05908203125
5,0.567646861076355,339.99432373046875,9.330852481070906e-05,541.871337890625
6,0.5884629487991333,336.66522216796875,5.700406836695038e-05,542.5734252929688
7,0.5985509157180786,334.4182434082031,4.210665792925283e-05,544.9352416992188
8,0.6115700602531433,332.2525634765625,3.4424359910190105e-05,542.04052734375
9,0.6185375452041626,331.33831787109375,3.0221917768358253e-05,544.7314453125
10,0.6334474682807922,329.2933654785156,8.244565105997026e-05,526.5917358398438
11,0.6400967240333557,328.33111572265625,0.015385118313133717,540.06103515625
12,0.6495564579963684,327.0337219238281,0.04547423496842384,534.4349975585938
13,0.6544989943504333,326.2028503417969,0.40461471676826477,405.0043029785156
14,0.6552726030349731,325.523193359375,0.4767929017543793,349.11346435546875
15,0.6621580719947815,324.7459411621094,0.5508543252944946,343.8839111328125
16,0.669231116771698,323.97113037109375,0.45589780807495117,354.63372802734375
17,0.6742525100708008,323.4065856933594,0.576922595500946,357.6644592285156
18,0.6772450804710388,322.823974609375,0.5169982314109802,398.3057556152344
19,0.6793275475502014,322.6632385253906,0.4298717677593231,356.7844543457031
20,0.681789755821228,322.0038757324219,0.3805030882358551,371.7872314453125
21,0.6861873865127563,321.48126220703125,0.47775405645370483,353.7835388183594
22,0.6911115646362305,320.92401123046875,0.6297935843467712,338.69891357421875
23,0.6930453181266785,320.6106262207031,0.2560892105102539,403.09857177734375
24,0.6968712210655212,320.1337585449219,0.3463231027126312,379.94140625
25,0.698345959186554,320.1582336425781,0.29334259033203125,381.99676513671875
26,0.6993417739868164,319.6001892089844,0.38971903920173645,368.01287841796875
27,0.702513575553894,319.63848876953125,0.2531118392944336,400.0318603515625
